Property,Unit,Credits,Fees,Debit,Security Deposits,Date,Debit/Credit Explanation,Mark up included
1505-1515 Franklin Park,CAM,,,$100.00,,8/28/2025,Mowing,TRUE
1505-1515 Franklin Park,CAM,,,$250.00,,9/2/2025,Common area cleaning,TRUE
1505-1515 Franklin Park,E-5,,,$950.00,,8/29/2025,Security Deposit Return,FALSE
1505-1515 Franklin Park,E-5,,,$12.00,,8/29/2025,Security Deposit Return Mail Fee,FALSE
1505-1515 Franklin Park,E-7,,,$900.00,,8/29/2025,Security Deposit Return,FALSE
1505-1515 Franklin Park,E-7,,,$12.00,,8/29/2025,Security Deposit Return Mail Fee,FALSE
1505-1515 Franklin Park,E-8,,,$743.40,,8/22/2025,Oven repair,TRUE
1505-1515 Franklin Park,F-4,,,$14.86,,9/3/2025,Materials,TRUE
189 W Patterson Ave,CAM,,,$633.95,,8/25/2025,Washer repair,TRUE
189 W Patterson Ave,CAM,,,$50.00,,8/28/2025,Mowing,TRUE
189 W Patterson Ave,CAM,,,$20.00,,9/2/2025,Common area cleaning,TRUE
196 Miller Ave,CAM,,,$50.00,,8/28/2025,Mowing,TRUE
196 Miller Ave,CAM,,,$20.00,,9/2/2025,Common area cleaning,TRUE
22 Wilson Ave,A,,,$685.00,,8/26/2025,Turn,TRUE
22 Wilson Ave,B,,,$212.50,,9/21/2025,Renewal Fee,FALSE
2536 Adams Ave,CAM,,,$50.00,,8/28/2025,Mowing,FALSE
2536 Adams Ave,CAM,,,$10.00,,9/2/2025,Common area cleaning,FALSE
705 Ann,CAM,,,"$2,000.00",,8/22/2025,Roof draw,FALSE
705 Ann,CAM,,,$650.00,,8/27/2025,Scupper box - CJE,FALSE
Ohio & Bryden,1096-C,,,$51.28,,8/29/2025,Elock replacement,TRUE
Ohio & Bryden,1096-C,,,$45.00,,8/29/2025,Elock replacement - labor,TRUE
Ohio & Bryden,1104-A,,,$125.00,,9/21/2025,Renewal Fee,FALSE
Ohio & Bryden,1104-C,,,$875.00,,8/29/2025,Security Deposit Return,FALSE
Ohio & Bryden,1104-C,,,$12.00,,8/29/2025,Security Deposit Return Mail Fee,FALSE
Ohio & Bryden,1104-C,,,$27.82,,9/3/2025,Materials,TRUE
Ohio & Bryden,CAM,,,$50.00,,8/28/2025,Mowing,TRUE
Ohio & Bryden,CAM,,,$80.00,,9/2/2025,Common area cleaning,TRUE
Park and State,10,,,$70.00,,8/25/2025,Cleaning ,TRUE
Park and State,10,,,$33.89,,9/15/2025,Electric,FALSE
Park and State,10,,,$0.45,,9/15/2025,Electric,FALSE
Park and State,12,,,$70.00,,8/25/2025,Cleaning ,TRUE
Park and State,12,,,$75.00,,8/28/2025,Drain Clearing,TRUE
Park and State,12,,,$25.89,,9/15/2025,Electric,FALSE
Park and State,12,,,$0.45,,9/15/2025,Electric,FALSE
Park and State,61,,,$155.00,,8/25/2025,Cleaning ,TRUE
Park and State,61,,,$31.16,,9/15/2025,Electric,FALSE
Park and State,61,,,$0.45,,9/15/2025,Electric,FALSE
Park and State,63,,,$41.75,,9/15/2025,Electric,FALSE
Park and State,63,,,$0.45,,9/15/2025,Electric,FALSE
Park and State,65,,,$22.64,,9/15/2025,Electric,FALSE
Park and State,65,,,$0.45,,9/15/2025,Electric,FALSE
Park and State,16-2,,,$18.99,,9/15/2025,Electric,FALSE
Park and State,16-2,,,$0.45,,9/15/2025,Electric,FALSE
Park and State,18-1,,,$155.00,,8/25/2025,Cleaning ,TRUE
Park and State,18-1,,,$88.64,,9/15/2025,Electric,FALSE
Park and State,18-1,,,$0.45,,9/15/2025,Electric,FALSE
Park and State,18-4,,,$375.00,,8/22/2025,Plumbing diagnostics. ,TRUE
Park and State,18-4,,,$82.39,,9/15/2025,Electric,FALSE
Park and State,18-4,,,$0.45,,9/15/2025,Electric,FALSE
Park and State,20-1,,,$19.66,,9/15/2025,Electric,FALSE
Park and State,20-1,,,$0.45,,9/15/2025,Electric,FALSE
Park and State,CAM,,,$22.62,,8/22/2025,Batteries - mini split remotes,TRUE
Park and State,CAM,,,$50.00,,8/28/2025,Mowing,TRUE
Park and State,CAM,,,$129.05,,9/15/2025,Water and Electric,FALSE
Park and State,CAM,,,$59.82,,9/15/2025,Water and Electric,FALSE
Park and State,CAM,,,$0.45,,9/15/2025,Water and Electric,FALSE
Park and State,CAM,,,$0.45,,9/15/2025,Water and Electric,FALSE
Park and State,CAM,,,$30.00,,9/2/2025,Common area cleaning,TRUE
Schiller Terrace,CAM,,,$50.00,,8/28/2025,Mowing,TRUE
Schiller Terrace,392,,,$375.00,,9/21/2025,Renewal Fee,FALSE
1505-1515 Franklin Park,A-2,,,$125.00,,9/21/2025,Renewal Fee,FALSE
1505-1515 Franklin Park,C-10,,,$55.37,,9/10/2025,Columbia Gas,FALSE
1505-1515 Franklin Park,D-10,,,$45.00,,9/2/2025,Cabinet repair,TRUE
1505-1515 Franklin Park,E-5,,,$22.50,,9/10/2025,Columbia Gas,FALSE
1505-1515 Franklin Park,E-7,,,$12.12,,9/10/2025,Columbia Gas,FALSE
1505-1515 Franklin Park,E-8,,,$50.17,,9/10/2025,Columbia Gas,FALSE
22 Wilson Ave,A,,,$13.64,,9/10/2025,Columbia Gas,FALSE
22 Wilson Ave,A,,,$799.00,,9/21/2025,New Lease Fee,FALSE
705 Ann,CAM,,,$300.00,,9/9/2025,Mortar,FALSE
Ohio & Bryden,1104-C,,,$10.28,,9/4/2025,Lock materials,TRUE
Park and State,10,,,$90.00,,9/10/2025,Columbia Gas,FALSE
Park and State,12,,,$99.00,,9/10/2025,Columbia Gas,FALSE
Park and State,61,,,$65.00,,9/5/2025,Mailbox Lock Replacement,TRUE
Park and State,61,,,$20.56,,9/4/2025,Lock materials,TRUE
Park and State,65,,,$55.37,,9/10/2025,Columbia Gas,FALSE
Park and State,CAM,,,$118.00,,9/10/2025,Columbia Gas - 16-20 PArk,FALSE
Park and State,16-2,,,$365.00,,9/5/2025,Turn,TRUE
Park and State,18-1,,,$65.00,,9/5/2025,Mailbox Lock Replacement,TRUE
Park and State,18-1,,,$20.56,,9/4/2025,Lock materials,TRUE
Park and State,20-1,,,$59.30,,9/10/2025,Columbia Gas,FALSE
Park and State,CAM,,,$450.00,,9/3/2025,Plumbing repair,TRUE
Park and State,CAM,,,$75.00,,9/5/2025,Pest spraying - exterior,TRUE
Schiller Terrace,392,,,$375.00,,9/21/2025,Renewal Fee,FALSE
Schiller Terrace,402,,,$17.26,,9/10/2025,Materials,TRUE
Schiller Terrace,909,,,$22.01,,9/3/2025,Deck repair,TRUE
Schiller Terrace,909,,,$25.90,,9/10/2025,Materials,TRUE
1505-1515 Franklin Park,E-5,,,$7.60,,9/11/2025,AEP,FALSE
1505-1515 Franklin Park,E-7,,,$2.22,,9/11/2025,AEP,FALSE
1505-1515 Franklin Park,E-8,,,$6.68,,9/11/2025,AEP,FALSE
Schiller Terrace,402,,,$170.00,,9/11/2025,Dishwasher install and Deck repair,TRUE
Schiller Terrace,909,,,$365.00,,9/11/2025,Ceiling and plumbing repair,TRUE
189 W Patterson Ave,H,,,$132.00,,9/11/2025,Toilet repair,TRUE
Ohio & Bryden,1096-C,,,$411.47,,9/11/2025,Toilet Replacement,TRUE
196 Miller Ave,CAM,,,$125.00,,9/11/2025,Washer Diagnostics,TRUE
Park and State,16-2,,,$60.68,,9/15/2025,Columbia Gas,FALSE
Park and State,16-3,,,$2.00,,9/15/2025,Transaction Fee,FALSE
196 Miller Ave,CAM,,,$147.74,,9/12/2025,Front door lock materials,TRUE
Park and State,20-2,,,$14.03,,9/11/2025,Extra remote for Mini Split,TRUE
1505-1515 Franklin Park,C-10,,,$500.00,,9/15/2025,Turn,TRUE
1505-1515 Franklin Park,CAM,,,$100.00,,9/15/2025,Mowing,TRUE
196 Miller Ave,CAM,,,$50.00,,9/15/2025,Mowing,TRUE
Ohio & Bryden,CAM,,,$50.00,,9/15/2025,Mowing,TRUE
Schiller Terrace,CAM,,,$50.00,,9/15/2025,Mowing,TRUE
189 W Patterson Ave,CAM,,,$50.00,,9/15/2025,Mowing,TRUE
2536 Adams Ave,CAM,,,$50.00,,9/15/2025,Mowing,FALSE
Park and State,CAM,,,$50.00,,9/15/2025,Mowing,TRUE
Ohio & Bryden,1104-C,,,$13.76,,9/15/2025,AEP,FALSE
Ohio & Bryden,1104-C,,,$28.46,,9/15/2025,Columbia Gas,FALSE
22 Wilson Ave,A,,,$12.00,,9/15/2025,Security Deposit return Mail Fee,FALSE
22 Wilson Ave,A,,,$850.00,,9/15/2025,Security Deposit Return,FALSE
189 W Patterson Ave,B,,,$264.32,,9/15/2025,Garbage disposal replacement,TRUE
1476 S High St,1478 1/2,,,$100.00,,9/21/2025,Renewal Fee,FALSE
189 W Patterson Ave,CAM,,,$41.97,,9/17/2025,AEP,FALSE
Park and State,20-1,,,$61.91,,9/17/2025,Materials,TRUE
